timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,entity_id,total_amount_btc,is_anomaly,risk_score,explanation
2026-07-27 16:36:22,148.11.13.188,188.150.35.137,60371,18332,4161d3d9c83f16b82b9a94cc850d623cc1deba09a8df4ab7d41d2c433348a636,14r0y34cNefXSrUyItLyRC07hxMbcaguQB|bc1qxitaQSnJtoernnIS6YPJOQAYmdEcrhCLKobbWJ|1fSYYHaQd2ccsqQXxR5KhtjK03NPGoDErV,bc1qBkoWMAwZBhFyKIms3V1Rd4BaEQoVvRhDQfsdZR,1.46679581|0.23441659|2.51982542,4.22047663,0.00056119,P2WPKH,US,Entity_10,4.22103782,False,27.9,Normal.
2026-07-27 17:02:17,167.210.231.217,62.31.105.181,64620,18332,7edb182f729a9604c41154e9ab3c6d602121899ff0d12690ea5841af189117ba,bc1qTAyeETKnLVwvZLU4OilnAvOArxYc7AkQZCfQg1,bc1qk4aB1AKbsgoajTXrswASqUrTwUmd6OcdWpVAUs|3tkLjcvn19AaPzLhfIiNS9QZJYZaljL1t1,2.14245958,1.04521488|1.09697974,0.00026496,P2TR,US,Entity_11,2.14245958,False,16.6,Normal.
2026-07-27 17:04:31,93.34.67.163,15.203.251.114,55928,8334,307733419c48dc3234c3ad28c35a26855f3ad0601c5f2e9b7aeb8918b2d30685,1AHVfSTyPXl8Jd6Nn5qJztGQ5EM47pEsRf|3XYv9gLxPTidt4jSzRw7LRQMoXFsy59YQ4,bc1qxp1NOS7vsTmu4YzjQ4hjFpHh6NzLA8N8pLo7jf|bc1qE2P3iFSPR7Lq2tLO5fo1pdkXpnpBe3HPiwD9wz,0.1311867|2.27106839,0.18688215|2.21519364,0.0001793,P2WPKH,IT,Entity_12,2.4022550899999997,False,5.4,Normal.
2026-07-27 17:50:40,30.222.48.213,213.213.56.168,58911,18333,7a51c2b7f5ea6432398e192cf3e827ecae3ab82f224c52a9233da1b02a26555d,15I4Wz71KzUHr1iRF83rNTAw1W0rFsMhfQ|bc1q9nBNB6NjawFTkwm7GXkHYTldmi0asfxafpqjSC|3b5acjtNK2eoNZ9hutmuDGNATQrrGMxMSi,1zjSv5rA7ApWYc767QNcx0GgksHAN0JcXC|bc1qjanEzWHaoxymH9qOANie7pIotFFEhPSkTM1Rev,1.12981489|0.38026987|1.14625124,1.18484311|1.47101635,0.00047654,P2SH,US,Entity_0,2.656336,False,21.3,Normal.
2026-07-27 17:52:00,103.230.154.173,214.3.144.33,64192,18332,7c25e7b31581a7dd2aa012dc69c6db4ef77d475095e6ebd04d18cdc3ecaf949f,bc1qaDMVG7MhNdEm3GbQfUErVbN55yOIsE58JWdYNI|1bigSSYQzzh32V5pmPZTcJZAEZInljbn1u,3zzVkaZ50ehpz44b9bglHI8RBXVcIuqlMb,0.91781599|2.33958833,3.25668699,0.00071733,P2PKH,IN,Entity_13,3.25740432,False,12.9,Normal.
2026-07-27 18:10:16,199.117.32.145,178.200.59.44,51958,8333,e57104dd93b7b3efe05e737ed4f361a0c3fef5afb869ec02d0699efe70e4d4d9,3ZPaR3UMPPCwejU4tnJ9mxTAqqmbTwa5l6|1aj75dtbPzAsPv8LwEYuGfOpenlnfKL3Gj,1IPiztfTTgsugO3eigBgP8LE6vLV9mQJuL|34wWBBCNURzQLrzJr8Hch2EQfC4xc2IA5I|1mdwkS8d2NAEMLzq7KsKVZYqPhIcBCDHJw,0.88781479|1.06132957,0.79279302|0.5209454|0.63480886,0.00059708,P2PKH,US,Entity_14,1.94914436,False,14.1,Normal.
2026-07-27 18:13:52,203.149.14.51,152.160.64.252,50625,8332,8d4718a4edf073d5868f97fd9a382894637ef002d0c03ce733796102bfb3ccd0,18PLYRSUCYrOvdZMu8ui8xiWX9DfLr4kNL|bc1qtNbIDGhoQe6XoyfLTOQp4LlyhXAEq5CeNq4gXc|3iSpTJpWFy0eOtdYqmKiZPPvLKl5nTCwlS|3X7XRDqX5wCQGznSyniv1WV27pQFBZqfLY,1RQC54SRddsz61eR0ebf0w27M5YsIP7MeE,0.47013943|1.5272635|0.41955385|1.28074952,3.69674891,0.00095739,P2PKH,TH,Entity_15,3.6977063,False,33.1,Normal.
2026-07-27 18:17:20,207.231.56.230,33.55.158.62,51887,18333,531db5cc1941e1b4cc50914261df96879689b85ac4a5157b6f192ed360dbc57e,bc1qUutCpOJdh2PexZUtPejLAUOwsKcXmCcMz5catW|1oBlUyqu9ysV32fK4tyo1PEehYFhvSQl7e,3c8MqkHD86487AWiAEwXGwRfH9iBftJIhr,0.22486928|1.85761414,2.08178539,0.00069803,P2WPKH,US,Entity_16,2.08248342,False,9.0,Normal.
2026-07-27 18:27:48,35.229.54.206,94.139.203.21,58590,8332,43f1d0f101d05d01d06a7bd4b493e0e3808557c1b12e750abc31558a810a5e7e,1ZLZfBqJ6aGObX2HTkN1qgMyIsjJCphztC|bc1qEOMvfLVU6w0FC73OqOOYgAPbt4EmRjzqKPdWPZ|3tgqgVOcgPCnNQekJYoXGr8SPiDiBEgtO9,3OYM2Fw9HBun8iI1YITbQ6xtrXqMLnpwUV|3wK3MWWpL68Wn2M14lbpnCb0HR8DwGR8Zy|1XT2xldCuaTFMgy98bbp9MJNNuPwBlIj4x,0.2004724|1.81304039|2.74170138,1.67620589|0.24993751|2.82889884,0.00017193,P2SH,US,Entity_17,4.75521417,False,32.7,Normal.
2026-07-27 18:36:39,205.69.28.187,146.26.237.175,54367,8334,fb5136f7b3a1cbd3d12e21ee46d47424897eaf7e2451697be8f33cd2fa4d66a7,bc1qWKTisgCVL7hGS1uIkUn5tKOtM5unCWNPOIdLuh|3EmnLKC0sYmz7lDneYnFYNE2tAXYvOzp5Q,3iakp7ZiRVg1h1b43EN18T1na5KIg5wVs6|3Ofq6eu71GBnICPrX25bzhKVRccwQHyPwj|bc1q9DFQvaC05gVBOlYrSCJIQnLwzJDE1LpumQbYqo,0.37754284|4.52027145,1.13748891|0.37723022|3.38255818,0.00053698,P2TR,US,Entity_18,4.89781429,False,17.9,Normal.
2026-07-27 19:51:28,214.110.110.97,95.158.14.50,54065,18333,ecd8f064daef7582337055ea8e0755dc1a8e9dbd876a81c3de4affb60174a898,3XuQwmNXyXujux6jH2mrzpq8KQxndeQ6cT|bc1q3c1HGlTGUJ1UbAUNwFCnbdviPzU6P89xbfmi6U,bc1qRYcxQnrnZzzvSjP1QcWKVv3JVFJIApzlS84WsT|3FKwWsahe1hX75aOyTtcE0XgmhsPK2x4nu,1.00237821|1.95608318,0.86096478|2.09733336,0.00016325,P2TR,US,Entity_19,2.95846139,False,13.0,Normal.
2026-07-27 20:03:33,107.137.88.147,157.162.211.223,57641,8334,4d44cbb98ffc45c587ee0b6ce7d3dbab4ecaad40031ec5938459c70db4b961d4,38NnL76NjQtasmH9ksSLLNqLm5gH4lGmYm|17vj8uY4N4HLcBWx9dMPgqtVPpd6HoNehu,1HgFwRvSoDhvDNHBVMSNX6ENFiLGTXxIQ1|bc1qnvj9qdlBqodsX7Fm10DpYk3m5QDdmxJ6n8VJ5e|1pUwtV1nYvs1I46GrgzSQjOjw2trGnEtmu,0.04025693|0.10343183,0.03616737|0.04547773|0.06202966,1.4e-05,P2WPKH,US,Entity_20,0.14368876,False,45.6,Normal.
2026-07-27 20:37:25,106.136.2.207,210.85.215.97,60431,18333,3a4639e4a839df2c572e8e4df4395f5d778140a662d6d7aade140ce0bcac6cf0,3xcAbLaqpvvwFGzIojqotPwYWxcSMdmz1I|bc1qHNVcQHORa0YnzufK5rAvwCRbgMbrkjTTmmiCPn,bc1qd4k0KFeT3pR1arQ6WagbERQVZCKdKFszQMxKc9|1VWVvOyaDDcxQbpTOhAPn7JI1bocipAXrj,0.00683639|3.08336758,0.47356189|2.61589589,0.00074619,P2WPKH,JP,Entity_21,3.09020397,False,13.7,Normal.
2026-07-27 20:40:02,86.109.18.230,81.173.141.186,62611,8333,2b4412a9980904593b39822206e149c5ef60e81cc9f2ffb311aec109fda89bd5,3qdZAhsXWUXZ6xJvdq3rPlKnHhQfANpLhX|bc1qP4THxpbFGx6KoMVsYt89KmRm5fvwjfTBkuMt5b|3b3OGRzRn6kOOxkLZLmyvFPOhQofCpO4bf|bc1qZ7Yk6x6GUNoO0hUr9KlLvBhPuUDXIth0kkJNnu,17dcqc3slqNe42Rs47qPZ8HDbqjQR81JIy|bc1qDDoHdyem8SeUwEkfqkdPpXwKDDhk6rOZAAWzdk,2.24796942|0.98748624|0.42732679|1.06533076,1.22186046|3.50586954,0.00038321,P2SH,NL,Entity_22,4.72811321,False,18.6,Normal.
2026-07-27 20:45:39,151.89.105.16,101.107.68.129,50768,8333,359413d44cbe6faaa20c5f549461160776a4524b0d38d83b83af216a680f1693,10X3VcPf9gGgKBMHc0L7pBXsP4OY2Y3FE5|bc1qvwDVKURw1m2pue8CmVp1Gbe9AjmqVyQejR4VpY,bc1q2m7DNA4tqFobGDOspZPCBLM81j7HBE5AwlBahE|3OHUPL7StxuPMSLetxtdX2pJKT2jrmyOhx|bc1qtuVv9hYZtrfLw5GNLo9Dk1ck4wzpd4o06hkY2e,1.25398225|3.26688715,1.08721654|0.94425711|2.4885426,0.00085315,P2TR,IT,Entity_23,4.5208694000000005,False,9.6,Normal.
2026-07-27 20:53:23,133.7.236.0,219.12.176.228,57237,18332,17145a1dbb685def4a9b07238c299898332b80c8200437106f86025a10611f04,bc1qPKa2i51XlDDgyNHXjhF1eF9JpU0wnqdA1WbP5y,3zNXiDSBc8DfefJy5SmqakfYL281HGMkz5|3w0EdD3hQ6t6IZ3pZ3dJHQNDUwMkpXtMFp,0.30710314,0.11569269|0.1907932,0.00061725,P2SH,JP,Entity_24,0.30710314,False,17.5,Normal.
2026-07-27 21:11:20,179.62.231.25,163.155.252.163,50391,8334,691b40a80933215ac50aa52909c22ad86a76d0cbbcd15f6fdbfe17a7aa22dd2b,1y9F0RyvRyji87MB90B1qMDZPJNwc8gFFD,1HvtdBu2fKKwhdXgWHMgZB93A3jQnX7ymN|3oTV4l6MY5tHiRGBYS68tzNjyVQy8RkT3E|32Gkvp6QpsDbhpIk7lHRFIDRcjuB3gYXFg,4.92710064,2.03618976|0.00390239|2.88620448,0.00080401,P2WPKH,AR,Entity_25,4.92710064,False,16.2,Normal.
2026-07-27 21:12:46,137.116.29.24,202.72.134.178,60218,8332,a70ca511fd0471a2331453cc778c75f54f2af210b3a72f785dcb257ff9f93617,bc1qvnaDz9iGslOftbytnR1K4z96an72vZIA1qG3GW,37VprJEvUAThXxn0BwwiTHOTDpinfriky8|1MIxugR1DuKlxkM7lpjhzwkXvIibDuUkts,4.80242854,2.0797073|2.72192509,0.00079615,P2TR,US,Entity_26,4.80242854,False,23.1,Normal.
2026-07-27 21:21:40,206.15.204.202,135.194.90.231,63381,8334,867ab39f0a74e5fa8902751ea4913a5c98b63c74fc85f4e3e3b0200dbd02de3f,3X8Sdqqaf9yxCRCzNV5wCliNDsVuAubUTo|3g0AhLn0CudhC0NQBAmK8zc5ydCMZ1j1Fb|bc1qmr76SiE6ev0oNGaBtgHvOhblOAibwgrTz6ezyC,1yCDJJ9IjlNlC2tkxRDe0IGKSXKjrvvbt3,0.03788329|0.49018637|2.08409918,2.61195363,0.00021521,P2SH,US,Entity_27,2.61216884,False,20.7,Normal.
2026-07-27 21:39:00,181.159.232.191,206.62.179.145,55391,8332,0cb8ea5802025d3702b48090c5fd0eeb12abd2913a1538e1fc67c1b62441230a,3cVoqoPGXy42cOg8NqTJJxxK3ep8nzYvX3|10NYJVncq3HOjy3K1iFfwao78QUijJJ2jT,3hWsytETnxJjTQN6Z5dQGz9cRPJKPwkiUr|3f5wse8OSo6orWMplGfIUISrfHGKalyhW9,0.85349917|2.62101831,0.81696515|2.65711315,0.00043918,P2WPKH,CO,Entity_3,3.4745174800000003,False,11.1,Normal.
2026-07-27 22:08:06,121.71.25.157,185.243.136.4,49866,18333,01c669dddab924dc2139bfd79227b67b086def59ca6c2ed23533322b1edbbbc1,3EOflxDnamp7xsVkdDL0erDw8ZzwdZEbT1,bc1q2gbSBdFb40wWcf6xkiSsXzPCsyVVevpVvhmsvV,3.26619916,3.26533904,0.00086012,P2SH,CN,Entity_28,3.26619916,False,44.4,Normal.
2026-07-27 22:15:13,110.138.105.231,179.126.135.115,60893,8334,b2c2cf6d93a43c86da134e1c53af26d404be31279a4009d098445588fbc34d6a,1THXj5bHNQauVxTtm8A78irco0z3CUKFNy|3d9GV98gOqY4d9n0Xv00kKXR4bR6IIl92E|bc1qJA7oqtXRTtqemWKjkCzH7mtqhjQZRcZufpwFPq,3X68GuBsfLdus7o3DC95eji4RRNAFlTzLT|1nQ177EheH1KiV8dCh5fsF9pz8xiVvslB8,0.43389506|1.82224366|2.25312058,0.1204102|4.38843506,0.00041404,P2WPKH,ID,Entity_29,4.5092593,False,16.7,Normal.
2026-07-27 22:19:18,193.27.245.124,140.210.228.168,50004,8332,121efe73f302b117dec5056d1684436e031fe8863bb56b9ebd8ce834af955b49,31C6mOWFukyDTa1GLnmhHwF9gxAG83XqeQ|1UPr6XlGkemQc6HnYZeIQGl4VKmUavOa3G|3UBTnpcne9levPSXUihg9C5kBpH2UTtr75,3KcmFJQBmUfRGdAOuARl5HgLvCGOxQxfKk,1.49829294|0.39101831|1.27222912,3.16114162,0.00039875,P2SH,AT,Entity_30,3.16154037,False,16.0,Normal.
2026-07-27 22:41:34,206.243.240.7,144.230.0.99,55075,8333,f686dcecd9dcadd99e23ad4223456ecc71e69655c11ae7467e8f71bce4a9606e,bc1q6OUmOfmQmAY63kFDsCZWBUoMXgVeR1I2vHPG6Y,bc1q6k3XjRnkKtxFyOzNmShpo43DDA0EkcaHMUAxTH|1RMOST13nsOny3kyqEOLJLM3gS3x5TioFS,0.28726614,0.13421243|0.15265484,0.00039887,P2WPKH,US,Entity_31,0.28726614,False,27.1,Normal.
2026-07-27 22:51:36,27.146.138.199,60.65.212.83,63094,18332,e9c5d0adbb43b8b8e9a8abdede64dda5f9be9629ce6e4c1ea7ca6d9bae35a8bd,bc1qPTdmiTEnP0st9aEQhaLhgmDZBdhz8Y0HYQ1MAN|3C7C4bVfi4WJxM32d0hPCVG0fq9gKYJQ1h|3nDvYNA7gqstIQtJQmiIsfJMHx2BiBt5SD|bc1qhXJXvga5jQGrIkEesCnZhEavZdi2WF7I7SiTA4,3TAt8cX8uF9d3MqQ7vkhjKnyxBWS9GBmYk|18UBD6Wx0MUj4ksUrziJQxwcWsLei64ZCx|1PgDepC2s8xRToUlOlCyKC7ZoYpDNGa0Mb,0.00666603|0.0728435|0.08523253|0.20033757,0.0407111|0.08353815|0.24056427,0.00026611,P2WPKH,MY,Entity_32,0.36507963,False,20.2,Normal.
2026-07-27 23:30:37,180.237.143.38,212.41.116.168,53619,8332,f584efd7c754d36aea4ec719289b7e05d02ab5cf57b04980eed32d5ee1b81ac1,1P5Q9VCJc5HJuxBluGm3lqruTkR7Hci8aM|12cFYLzAA3HYZqex4dPz1UsM0mMywXUevB|bc1qgcqO2STMhh7UswdvPRPDqkLynzelXsiQQRTlvL,32aVLMFbrRifebHXsrx4UB6Kme5S9JVXiN|30zxghannvru06EwiEYX19WcmpV1NR2SaE|16xvwnzKSYq2YXmKlN9VlqMmBogkmVEhl7,0.40225712|0.15822637|0.9951313,0.21235836|0.32551002|1.01755621,0.0001902,P2TR,KR,Entity_33,1.5556147900000001,False,6.5,Normal.
2026-07-27 23:31:55,134.243.238.75,190.114.250.52,59649,8332,655a85613348710b2332f39fc0de329cdb67f06117adb994ebaa62a1f6b3e8ba,1s1qaNXgj7UMHm7C8WdGJkVvKqrC2yTH1b|1FWBvnaQ7wtwdljDfBFP8vSh8MQ2NfbUYg,3rUSFRIXxiUlqJg9GGsfJy4ZbM4LOpBE9w,0.44634109|2.63675112,3.08247316,0.00061905,P2SH,US,Entity_34,3.08309221,False,32.7,Normal.
2026-07-27 23:38:08,212.137.29.232,105.78.174.55,63874,8333,b9860bb3394c8c3e1b969514923f8dea309962837324f38cc8aa2cdbc039880c,bc1qDBvmi6nUZIDBqDmKSMhUcGZEa5mhKNTXofG7U1|1ewtwl9EDJHFcdXYn1G0VBGJxeG2oj2iPL,3tbKni12Ijoan4S1TzS6PYOdUIMmcLpFjw|bc1qjKmTKo5WYc51V87pm5BvJP1DXnRNOGOlAeuIaV,0.13647347|0.24782578,0.03607807|0.34810993,0.00011125,P2WPKH,GB,Entity_35,0.38429925,False,13.9,Normal.
2026-07-27 23:44:19,179.234.123.109,207.210.203.75,61772,18333,df2de39c1290da82a28e3054133fb1e896095333a897198c8001150578533005,3K0Bvz2pmgH3X8YHuyVo5NqXdSajEUDMv0|1B9wyueNTTaksgueF4upZG7uhnmyTaG8L5|bc1qklZuuzk47ZvpyRkPJaZfBPox44X5ZqQSddX5G9,bc1qpbq5gdEMh6xRtrNsceKuBA8XkmHaZNOKs0x3vQ|3Nh3jxd1Tsn1yWhgaMO0N0YEG3DQB5wilM,1.91240126|0.44487434|1.94458972,0.48686826|3.81425533,0.00074173,P2PKH,BR,Entity_36,4.30186532,False,36.1,Normal.
2026-07-27 23:45:19,135.253.199.163,203.61.20.91,60180,8332,2bebe34f035883b8708022ff46201e5d0c5d1d0a74ea7dd06732fc00f27eac7d,3iC0jWFEnryukDC7sOYz5X0PnCRcd2j9hS|bc1ql1kpf2uciFErmlcawvMugV8mjQ1UqyGK5mVTc7|bc1qxffXaHEf8YO9ali8wQZwJc3ucK9MYlky9gKMGZ,1B54GOWRaCM72g1c4l7r3iRM6OwKve02QC|3Xv1hY7jNhUCQ0haEO2iybCpM588XVbGo5|37n6EYcY1IrmCm6ZGTZosMGLggqYLXjSH6,0.59480507|0.05230371|0.98251529,0.55967293|0.00975281|1.05940074,0.00079759,P2PKH,GB,Entity_37,1.6296240700000002,False,17.6,Normal.
2026-07-27 23:47:02,53.153.207.146,222.45.39.218,53553,8333,7e0ecb4780ab2703639e7571e269e9856c680c62c99b1411e7b59456433b0d59,1kLc8irGEUIT3COGWJZzp6k1hce90h4xsb|1oYmSegYlhCVSj5pa1VFbFdicji1ZJrpkg,bc1qTkIQMoGaNPFuG5VFRQKsXfpkYnv8WDFctM0mZe,0.11612279|4.75320535,4.86884878,0.00047936,P2TR,DE,Entity_38,4.86932814,False,20.7,Normal.
2026-07-28 00:12:59,168.188.252.80,161.56.207.55,59604,8333,080abf87661db4634ddfc8b6abb5cc2bbbc1a2d56571bcd6fc83eec7db608d0a,3w6eG1DJ43d7YIqT9bFizs6UHQ86tU9N5N|bc1qpFPmLGVrriCKoSyPioeTzCk8Du8notayj0zmqd|3aD0kRHASvwG5tL1q8ORnUEVFKbtDDYN0m|1l8k5Mz917NgkI3qRHicCyxLN7FqcdefZi,3NWw17i2XpsMQkhtmWgMig8rO0XiFd5l22|bc1qtBn7fCzA9SPXOoKxKZNuCYmJaERCpgbrgV5l0G|3imyd917wWEjpyGO0aNwcUFamGHKqZSQY5,0.91700496|0.78631395|0.11480925|1.67706847,1.53489904|0.51683358|1.44279685,0.00066716,P2TR,KR,Entity_39,3.49519663,False,5.4,Normal.
2026-07-28 00:19:04,204.108.73.103,207.206.130.241,55970,18333,8ab309fa09b7a6f5d6fd460a62d99ae41156a25afefbde11801d6008b3e16759,3IJGpOdfNFcam4Ie01BpXGyUgvqzapjyMB,3gehtqAA8oAsDJJWnckpB2E1BBqf7ZeUcz|1xRw895lqxVe5Zsf2FY4YTBirtm0PYFdWL|3r5DokiCF5lw5GJla71kd78FDBaEitY5Uo,3.25361128,0.02229854|0.55206498|2.67826061,0.00098715,P2WPKH,US,Entity_40,3.25361128,False,44.6,Normal.
2026-07-28 01:00:44,106.147.48.252,180.175.138.151,59132,8333,6f65ca684c22f057d447453dc26f2912bc9fbbcb5a9dc3cc127b3deb2bf4409d,1F4aSuZVvkh4K2xpgf8xZZy3AncQYYmK2e|3yanxvyBfAZCyn2l3N5orA4FtvlG9LrBrE|1npTddDHAxQwr9cuHQ8ATPwtSH4dQg0xI0|35K44lFiNuFC2j643Zzn0MtOb718GPSeAH,bc1qJLE5W0dLsICGnQpRHcf4gUq4B4lfzRk63nda81|bc1qIa8HPt4Fx6rCNnKPpPywAQ0nSH96nzzydrlRj0,0.28232355|0.16304579|0.31141101|1.35473518,0.09422382|2.01723569,5.602e-05,P2WPKH,JP,Entity_41,2.11151553,False,17.6,Normal.
2026-07-28 01:35:40,153.226.121.244,152.237.153.61,52816,18332,85b06dec7e6e7ff400171a7a2763e29e4b091584f18fc2d5521633080062b6b8,1Z3qdHm5qmd2GQ0K7dCgtBTpEamTeAGka7|bc1q6VulCQyqA1B1wprNZJNnBKBAwEeZRsI0A3evZ3|bc1qiQ78RMp8GoKRcWFJASlbYf5e6bNozG1rLLEmDr,3oD5U94Ei7qitJdZ1HdlXWlVIHOYcymi7P|15mGMZziR5jXKPFnKm6UL1X8igh5HttXTc,0.39498984|0.93637961|1.99413459,0.86012902|2.46467243,0.00070259,P2WPKH,JP,Entity_42,3.32550404,False,7.4,Normal.
2026-07-28 01:40:25,212.29.27.92,56.151.43.121,64579,18333,55855b0c15b5e051dfbd3a23b8d22fb397dd2a349c0308147eb367c0ded9faed,1YOkTHDrP7EPyRgzAbCIasN3Mc47DSr8w1|bc1qn3GFkjOIC1iWO5e0D7LlRFOqRKKKZebToPEQuo|bc1qXg2Tx85dpcUBxNbkgBiNImEQnUAGWfb7fciaWJ,bc1qQMuAxr0muBcdJTbsxFdfSy8cLRXl6ZaaUKZNUG|1QyHEHdJpHQALs3fT3FwKNS24C6yXnkzTM|15TFMTz3dcYP7QbJ7pF16rcuMgNo0vJxkI,0.84635456|0.15715554|2.20121612,1.06431268|0.97322775|1.16685216,0.00033363,P2WPKH,DE,Entity_43,3.2047262200000004,False,7.0,Normal.
